,Institucion,Enfermedad,Year
0,University of Debrecen,addiction,2021
1,University of Debrecen,alcohol,2021
2,University of Debrecen,compliance,2021
3,University of Debrecen,genetic factors,2021
4,University of Debrecen,immune cells,2021
5,University of Debrecen,keratinocytes,2021
6,University of Debrecen,psoriasis ,2021
7,University of Debrecen,addiction,2021
8,University of Debrecen,alcohol,2021
9,University of Debrecen,compliance,2021
10,University of Debrecen,genetic factors,2021
11,University of Debrecen,immune cells,2021
12,University of Debrecen,keratinocytes,2021
13,University of Debrecen,psoriasis ,2021
14,University of Debrecen,addiction,2021
15,University of Debrecen,alcohol,2021
16,University of Debrecen,compliance,2021
17,University of Debrecen,genetic factors,2021
18,University of Debrecen,immune cells,2021
19,University of Debrecen,keratinocytes,2021
20,University of Debrecen,psoriasis ,2021
21,University of Szeged,addiction,2021
22,University of Szeged,alcohol,2021
23,University of Szeged,compliance,2021
24,University of Szeged,genetic factors,2021
25,University of Szeged,immune cells,2021
26,University of Szeged,keratinocytes,2021
27,University of Szeged,psoriasis ,2021
28,University of Debrecen,addiction,2021
29,University of Debrecen,alcohol,2021
30,University of Debrecen,compliance,2021
31,University of Debrecen,genetic factors,2021
32,University of Debrecen,immune cells,2021
33,University of Debrecen,keratinocytes,2021
34,University of Debrecen,psoriasis ,2021
35,University of Debrecen,addiction,2021
36,University of Debrecen,alcohol,2021
37,University of Debrecen,compliance,2021
38,University of Debrecen,genetic factors,2021
39,University of Debrecen,immune cells,2021
40,University of Debrecen,keratinocytes,2021
41,University of Debrecen,psoriasis ,2021
42,University of Torino,biomarker,2020
43,University of Torino,health,2020
44,University of Torino,livestock,2020
45,University of Torino,microRNA,2020
46,University of Torino,pig,2020
47,University of Torino,poultry,2020
48,University of Torino,ruminants,2020
49,University of Torino,welfare ,2020
50,Università degli Studi di Milano,biomarker,2020
51,Università degli Studi di Milano,health,2020
52,Università degli Studi di Milano,livestock,2020
53,Università degli Studi di Milano,microRNA,2020
54,Università degli Studi di Milano,pig,2020
55,Università degli Studi di Milano,poultry,2020
56,Università degli Studi di Milano,ruminants,2020
57,Università degli Studi di Milano,welfare ,2020
58,Università degli Studi di Milano,biomarker,2020
59,Università degli Studi di Milano,health,2020
60,Università degli Studi di Milano,livestock,2020
61,Università degli Studi di Milano,microRNA,2020
62,Università degli Studi di Milano,pig,2020
63,Università degli Studi di Milano,poultry,2020
64,Università degli Studi di Milano,ruminants,2020
65,Università degli Studi di Milano,welfare ,2020
66,University of Torino,biomarker,2020
67,University of Torino,health,2020
68,University of Torino,livestock,2020
69,University of Torino,microRNA,2020
70,University of Torino,pig,2020
71,University of Torino,poultry,2020
72,University of Torino,ruminants,2020
73,University of Torino,welfare ,2020
74,University of Central Florida,Aging,2021
75,University of Central Florida,Bone,2021
76,University of Central Florida,Inflammation,2021
77,University of Central Florida,Osteoporosis,2021
78,University of Central Florida,Polyunsaturated fat,2021
79,University of Central Florida,Saturated fat ,2021
